,PID,First_Name,Last_Name,Gender,Age,Department,Location,Employee_Status,Pay_Grade,Start_Date
0,HI147711,William,Jones,Male,32,CNC Machinist,Cranes and Heavy Lifting Equipment,1,18,2024-12-23
1,HI566807,Karen,Rodriguez,Female,50,CNC Machinist,Paint Shops,3,25,2024-12-16
2,HI188602,Mary,Jones,Female,44,CNC Machinist,Paint Shops,2,25,2024-12-16
3,HI946297,James,Miller,Male,33,CNC Machinist,Administrative Offices,4,22,2024-12-09
4,HI965817,William,Rodriguez,Male,58,CNC Machinist,Cranes and Heavy Lifting Equipment,2,22,2024-12-09
5,HI668388,Susan,Johnson,Female,28,CNC Machinist,Outfitting Docks,2,22,2024-12-09
6,HI390607,Linda,Garcia,Female,39,CNC Machinist,Cranes and Heavy Lifting Equipment,3,28,2024-12-02
7,HI773058,David,Miller,Male,46,CNC Machinist,Outfitting Docks,2,18,2024-12-02
8,HI958600,Susan,Garcia,Unknown,48,CNC Machinist,Paint Shops,3,18,2024-12-02
9,HI036713,Joseph,Brown,Male,21,CNC Machinist,Fabrication Shops,4,25,2024-12-02
10,HI831901,John,Miller,Male,51,CNC Machinist,Administrative Offices,2,28,2024-11-25
11,HI894348,John,Garcia,Male,30,CNC Machinist,Paint Shops,4,22,2024-11-25
12,HI520987,Karen,Johnson,Female,52,CNC Machinist,Testing Facilities,4,18,2024-11-18
13,HI508548,Linda,Davis,Female,46,CNC Machinist,Administrative Offices,2,25,2024-11-18
14,HI486083,Mary,Williams,Female,60,CNC Machinist,Dry Docks,3,18,2024-11-11
15,HI970016,Michael,Martinez,Male,64,CNC Machinist,Dry Docks,3,28,2024-11-04
16,HI570916,Barbara,Garcia,Female,36,CNC Machinist,Slipways,2,25,2024-11-04
17,HI632524,Jennifer,Garcia,Female,32,CNC Machinist,Fabrication Shops,4,22,2024-11-04
18,HI751285,Jessica,Garcia,Female,57,CNC Machinist,Paint Shops,1,25,2024-10-28
19,HI301989,John,Smith,Male,33,CNC Machinist,Cranes and Heavy Lifting Equipment,4,22,2024-10-21
20,HI898438,Karen,Rodriguez,Female,55,CNC Machinist,Paint Shops,2,25,2024-10-21
21,HI761734,Sarah,Davis,Unknown,18,CNC Machinist,Wet Docks,4,25,2024-10-21
22,HI401706,Karen,Miller,Female,36,CNC Machinist,Testing Facilities,3,22,2024-10-07
23,HI497416,Susan,Davis,Female,23,CNC Machinist,Administrative Offices,2,18,2024-09-23
24,HI769107,Jennifer,Williams,Female,18,CNC Machinist,Wet Docks,2,28,2024-09-23
25,HI315340,David,Johnson,Male,50,CNC Machinist,Testing Facilities,1,25,2024-09-23
26,HI903826,Jennifer,Davis,Female,53,CNC Machinist,Slipways,1,18,2024-09-23
27,HI272637,Richard,Garcia,Male,59,CNC Machinist,Storage Areas,3,18,2024-09-23
28,HI158278,John,Martinez,Male,44,CNC Machinist,Wet Docks,1,28,2024-09-16
29,HI123871,Elizabeth,Davis,Unknown,49,CNC Machinist,Fabrication Shops,1,22,2024-09-16
30,HI212396,Robert,Johnson,Male,64,CNC Machinist,Fabrication Shops,4,22,2024-09-16
31,HI715785,Patricia,Rodriguez,Unknown,48,CNC Machinist,Fabrication Shops,1,28,2024-09-09
32,HI567788,Patricia,Martinez,Female,57,CNC Machinist,Testing Facilities,4,25,2024-09-09
33,HI203074,Susan,Jones,Female,41,CNC Machinist,Cranes and Heavy Lifting Equipment,2,25,2024-09-09
34,HI029909,Jennifer,Davis,Female,37,CNC Machinist,Storage Areas,3,22,2024-09-02
35,HI435649,Mary,Miller,Unknown,35,CNC Machinist,Storage Areas,4,25,2024-08-26
36,HI646188,David,Brown,Unknown,24,CNC Machinist,Wet Docks,4,22,2024-08-19
37,HI756149,Patricia,Martinez,Female,32,CNC Machinist,Slipways,3,25,2024-08-05
38,HI382531,Elizabeth,Jones,Female,38,CNC Machinist,Wet Docks,3,28,2024-07-29
39,HI840520,Patricia,Martinez,Female,54,CNC Machinist,Fabrication Shops,4,22,2024-07-29
40,HI671471,Thomas,Smith,Unknown,50,CNC Machinist,Fabrication Shops,3,18,2024-07-15
41,HI855432,David,Martinez,Male,65,CNC Machinist,Paint Shops,2,28,2024-07-15
42,HI270680,Patricia,Davis,Unknown,26,CNC Machinist,Administrative Offices,3,22,2024-07-15
43,HI022483,Michael,Davis,Male,46,CNC Machinist,Wet Docks,1,28,2024-07-08
44,HI754150,James,Davis,Male,18,CNC Machinist,Cranes and Heavy Lifting Equipment,3,18,2024-07-01
45,HI426429,Linda,Smith,Female,46,CNC Machinist,Dry Docks,3,25,2024-07-01
46,HI192497,David,Brown,Male,37,CNC Machinist,Cranes and Heavy Lifting Equipment,1,22,2024-07-01
47,HI779173,Karen,Jones,Female,56,CNC Machinist,Paint Shops,4,25,2024-07-01
48,HI882871,Joseph,Brown,Unknown,47,CNC Machinist,Dry Docks,1,25,2024-07-01
49,HI235120,Linda,Smith,Female,40,CNC Machinist,Testing Facilities,3,28,2024-06-24
50,HI133377,Richard,Martinez,Male,28,CNC Machinist,Testing Facilities,1,22,2024-06-10
51,HI600431,Patricia,Smith,Female,52,CNC Machinist,Slipways,2,25,2024-06-10
52,HI839470,Mary,Davis,Female,30,CNC Machinist,Outfitting Docks,2,22,2024-06-03
53,HI291868,Barbara,Miller,Female,63,CNC Machinist,Paint Shops,4,18,2024-06-03
54,HI576348,Richard,Martinez,Male,43,CNC Machinist,Testing Facilities,2,25,2024-06-03
55,HI027109,Thomas,Brown,Male,22,CNC Machinist,Cranes and Heavy Lifting Equipment,2,25,2024-06-03
56,HI537978,Elizabeth,Jones,Female,32,CNC Machinist,Slipways,4,18,2024-06-03
57,HI522796,Thomas,Johnson,Male,34,CNC Machinist,Fabrication Shops,1,18,2024-05-27
58,HI501025,Sarah,Smith,Female,44,CNC Machinist,Administrative Offices,3,28,2024-05-20
59,HI524557,William,Smith,Unknown,48,CNC Machinist,Wet Docks,4,18,2024-05-20
60,HI177231,Linda,Rodriguez,Female,46,CNC Machinist,Slipways,2,22,2024-05-20
61,HI312853,Mary,Martinez,Female,27,CNC Machinist,Wet Docks,2,22,2024-05-13
62,HI317649,Patricia,Johnson,Female,62,CNC Machinist,Wet Docks,2,25,2024-05-13
63,HI881647,Jessica,Jones,Female,26,CNC Machinist,Slipways,4,28,2024-05-13
64,HI304800,Karen,Jones,Female,61,CNC Machinist,Testing Facilities,4,18,2024-05-06
65,HI319864,Joseph,Rodriguez,Male,22,CNC Machinist,Administrative Offices,1,18,2024-05-06
66,HI577338,Patricia,Williams,Female,57,CNC Machinist,Testing Facilities,2,18,2024-04-29
67,HI779996,Robert,Williams,Male,21,CNC Machinist,Storage Areas,3,18,2024-04-29
68,HI917332,Karen,Rodriguez,Female,58,CNC Machinist,Testing Facilities,4,28,2024-04-29
69,HI470700,Elizabeth,Rodriguez,Female,64,CNC Machinist,Dry Docks,1,18,2024-04-22
70,HI131437,Mary,Johnson,Female,46,CNC Machinist,Administrative Offices,2,25,2024-04-15
71,HI190897,James,Miller,Male,57,CNC Machinist,Wet Docks,2,18,2024-04-15
72,HI642820,David,Miller,Unknown,37,CNC Machinist,Paint Shops,1,18,2024-04-15
73,HI536815,James,Johnson,Male,35,CNC Machinist,Dry Docks,1,28,2024-04-15
74,HI233924,Linda,Smith,Female,57,CNC Machinist,Administrative Offices,2,25,2024-04-15
75,HI412869,Sarah,Martinez,Female,58,CNC Machinist,Paint Shops,1,25,2024-04-08
76,HI879144,Robert,Rodriguez,Male,39,CNC Machinist,Paint Shops,4,22,2024-04-08
77,HI703360,Robert,Davis,Male,22,CNC Machinist,Slipways,4,18,2024-04-01
78,HI460169,Richard,Martinez,Male,51,CNC Machinist,Dry Docks,2,28,2024-04-01
79,HI088233,John,Martinez,Male,60,CNC Machinist,Paint Shops,1,22,2024-03-25
80,HI788309,Jennifer,Brown,Female,21,CNC Machinist,Fabrication Shops,2,18,2024-03-25
81,HI146865,Charles,Davis,Male,25,CNC Machinist,Outfitting Docks,1,18,2024-03-18
82,HI708816,Charles,Johnson,Male,62,CNC Machinist,Paint Shops,1,25,2024-03-18
83,HI044989,Susan,Smith,Female,45,CNC Machinist,Outfitting Docks,3,18,2024-03-18
84,HI161428,Thomas,Garcia,Male,23,CNC Machinist,Slipways,2,22,2024-03-11
85,HI996839,Karen,Miller,Female,59,CNC Machinist,Testing Facilities,2,22,2024-03-11
86,HI908791,William,Rodriguez,Male,33,CNC Machinist,Outfitting Docks,4,28,2024-03-11
87,HI568299,Elizabeth,Jones,Female,56,CNC Machinist,Administrative Offices,2,25,2024-03-04
88,HI017593,Elizabeth,Smith,Female,26,CNC Machinist,Outfitting Docks,4,25,2024-02-26
